абвер|а+бве+р
гоголь-моголь|го+голь-мо+голь
голубовато-белый|голубова+то-бе+лый
голубовато-серый|голубова+то-се+рый
горе-гореваньице|го+ре-горева+ньице
горе-охотник|го+ре-охо+тник
горе-руководитель|го+ре-руководи+тель
горе-рыболов|го+ре-рыболо+в
горизонтально-вертикальный|горизонта+льно-вертика+льный
горизонтально-ковочный|горизонта+льно-ко+вочный
горизонтально-продольный|горизонта+льно-продо+льный
горизонтально-расточный|горизонта+льно-расто+чный
горизонтально-сверлильный|горизонта+льно-сверли+льный
горизонтально-фрезерный|горизонта+льно-фре+зерный
горно-буровой|го+рно-бурово+й
горно-долинный|го+рно-доли+нный
горно-лесистый|го+рно-леси+стый
горно-металлургический|го+рно-металлурги+ческий
горно-морской|го+рно-морско+й
горно-обогатительный|го+рно-обогати+тельный
горно-пустынный|го+рно-пусты+нный
горно-спортивный|го+рно-спорти+вный
город-герой|го+род-геро+й
город-побратим|го+род-побрати+м
город-спутник|го+род-спу+тник
горько-сладкий|го+рько-сла+дкий
горьковато-сладкий|горькова+то-сла+дкий
государственно-административный|госуда+рственно-администрати+вный
государственно-бюрократический|госуда+рственно-бюрократи+ческий
государственно-колхозный|госуда+рственно-колхо+зный
государственно-монополистический|госуда+рственно-монополисти+ческий
госэкзамен|госэкза+мен
гравийно-песчаный|грави+йно-песча+ный
гравиметр|грави+ме+тр
гражданско-правовой|гражда+нско-правово+й
грамм-эквивалент|грамм-эквивале+нт
графито-водный|графи+то-во+дный
греко-латинский|гре+ко-лати+нский
греко-персидский|гре+ко-перси+дский
греко-российский|гре+ко-росси+йский
гроссбух|гро+ссбу+х
грота-галс|гро+та-га+лс
грудиться|гру+ди+ться
грунтово-болотный|грунто+во-боло+тный
грязно-серый|гря+зно-се+рый
грязновато-серый|грязнова+то-се+рый
губно-губной|гу+бно-губно+й
губно-зубной|гу+бно-зубно+й
губочка1|гу+бо+чка1
гуляй-город|гуля+й-го+род
дабы|да+бы+
давным-давно|давны+м-давно+
далай-лама|дала+й-ла+ма
далеко-далеко|далеко+-далеко+
дальтон-план|да+льтон-пла+н
дансинг-холл|да+нсинг-хо+лл
датско-советский|да+тско-сове+тский
датско-шведский|да+тско-шве+дский
дауэсизация|дауэсиза+ция
дачно-строительный|да+чно-строи+тельный
двадцатиэтажный|двадцатиэта+жный
двухэлементный|двухэлеме+нтный
двухэтажный|двухэта+жный
деаэратор|деаэра+тор
деаэрация|деаэра+ция
девичий|де+ви+чий
девятиэтажка|девятиэта+жка
девятиэтажный|девятиэта+жный
дедовщина|де+довщи+на
декаэдр|дека+эдр
декоративно-прикладной|декорати+вно-прикладно+й
дельта-древесина|де+льта-древеси+на
дельта-железо|де+льта-желе+зо
дельта-лучи|де+льта-лучи+
дельта-оператор|де+льта-опера+тор
дельта-функция|де+льта-фу+нкция
дельта-электрон|де+льта-электро+н
дельта-электронный|де+льта-электро+нный
